age,gp_asymptomatic_male,gp_mild_male,gp_ifr_male,gp_hospital_ifr_male,gp_icu_ifr_male,gp_hospital_male,gp_icu_male,gp_home_ifr_male,gp_asymptomatic_female,gp_mild_female,gp_ifr_female,gp_hospital_ifr_female,gp_icu_ifr_female,gp_hospital_female,gp_icu_female,gp_home_ifr_female,ch_asymptomatic_male,ch_mild_male,ch_ifr_male,ch_hospital_ifr_male,ch_icu_ifr_male,ch_hospital_male,ch_icu_male,ch_home_ifr_male,ch_asymptomatic_female,ch_mild_female,ch_ifr_female,ch_hospital_ifr_female,ch_icu_ifr_female,ch_hospital_female,ch_icu_female,ch_home_ifr_female
"[0, 4]",0.456,0.5329999999999999,1.430150478236103e-05,0.0,0.0,0.0009103479272531,9.10347927253193e-05,1.4301504782361033e-05,0.456,0.5329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.5329999999999999,0.0665730960333201,1.5310598812212848,1.5310598812212848,110.55994192866352,11.05599419286635,0.0,0.456,0.5329999999999999,0.0613710518365742,0.0,0.0,82.80086248524046,8.280086248524045,0.0613710518365742
"[5, 9]",0.456,0.5329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.5329999999999999,0.0,7.338230952493078e-06,7.338230952493078e-06,0.000355745225765,3.557452257650595e-05,0.0,0.456,0.5329999999999999,0.0665730960333201,0.0,0.0,0.0,0.0,0.0665730960333201,0.456,0.5329999999999999,0.0613710518365742,0.0,0.0,0.0,0.0,0.0613710518365742
"[10, 14]",0.412,0.569,1.2740759063524098e-05,1.472364985703255e-05,1.472364985703255e-05,0.0006532274291854,6.532274291854829e-05,0.0,0.412,0.569,6.495986916382659e-06,7.743090403019806e-06,7.743090403019806e-06,0.0004379341612808,4.379341612808349e-05,0.0,0.412,0.569,0.0665730960333201,0.0,0.0,0.0,0.0,0.0665730960333201,0.412,0.569,0.0613710518365742,0.0,0.0,0.0,0.0,0.0613710518365742
"[15, 19]",0.412,0.569,2.760336997299138e-05,3.986693306453814e-05,3.986693306453814e-05,0.0010290797857869,0.0001029079785786,0.0,0.412,0.569,2.5871190827987533e-05,3.370088871412244e-05,3.370088871412244e-05,0.0008764502303245,8.764502303245994e-05,0.0,0.412,0.569,0.0665730960333201,0.0,0.0,0.0,0.0,0.0665730960333201,0.412,0.569,0.0613710518365742,0.0,0.0,2.2009665764107864,0.2200966576410786,0.0613710518365742
"[20, 24]",0.37,0.597,3.7684651329256426e-05,0.0001130569333757,0.0001130569333757,0.0016099536995944,0.0002440012421623,0.0,0.37,0.597,3.8801520296703e-05,7.47005428837545e-05,7.47005428837545e-05,0.0018634944259199,0.0002347037570356,0.0,0.37,0.597,0.0665730960333201,0.0,0.0,0.1386712954879948,0.0211550606204905,0.0665730960333201,0.37,0.597,0.0613710518365742,0.0,0.0,0.4256162723313862,0.0535779850141657,0.0613710518365742
"[25, 29]",0.37,0.597,0.0001662448906743,0.0002122901776569,0.0001728808353962,0.0020729459723075,0.0004880961445491,0.0,0.37,0.597,9.509413152542916e-05,0.0001166742497367,9.50274699579158e-05,0.0028280964088829,0.0002977773201157,0.0,0.37,0.597,0.0665730960333201,0.0,0.0,0.6393475593521649,0.15067189839398,0.0665730960333201,0.37,0.597,0.0613710518365742,0.0,0.0,1.7346749158226902,0.1827957996787452,0.0613710518365742
"[30, 34]",0.332,0.614,0.0002557645082785,0.0003374805623831,0.0002374183546711,0.0034773664165396,0.0008869947636242,0.0,0.332,0.614,0.0002013300704582,0.0002487764835754,0.000174816062314,0.0039589773055855,0.0005188547134938,0.0,0.332,0.614,0.0665730960333201,0.0,0.0,0.1832667382504074,0.0469736289827252,0.0665730960333201,0.332,0.614,0.0613710518365742,0.0,0.0,0.289855339354751,0.0382038648258854,0.0613710518365742
"[35, 39]",0.332,0.614,0.0005505453943762,0.0005278248274048,0.0004066715054565,0.0075485884327317,0.0022447750689629,2.272056697142581e-05,0.332,0.614,0.0004128570024525,0.0001832264458973,0.0001411539659008,0.0052027881639329,0.0007451333081374,0.0002296305565552,0.332,0.614,0.0665730960333201,0.0438994748203056,0.0338561068569822,0.1856227930518748,0.0552130774437219,0.0226736212130145,0.332,0.614,0.0613710518365742,0.1350064016753472,0.1040549831839362,0.5708556984210134,0.0819400451822793,0.0
"[40, 44]",0.296,0.616,0.0013822665061258,0.001350456853506,0.0009928438769953,0.011336737664476,0.0034515197284113,3.180965261987784e-05,0.296,0.616,0.0008046718892281,0.000570280949089,0.0004192927128236,0.0074391728256824,0.0012764848867115,0.0002343909401391,0.296,0.616,0.0665730960333201,0.0,0.0,0.5006792889063851,0.1527335500652585,0.0665730960333201,0.296,0.616,0.0613710518365742,0.0542841365338153,0.0398722763753849,0.1147664417747809,0.0197871913959407,0.0070869153027588
"[45, 49]",0.296,0.616,0.0021457688571113,0.0020228167540846,0.0014425333013666,0.0153771078681113,0.005114642557744,0.0001229521030267,0.296,0.616,0.0013828581826756,0.0007593218257414,0.0005414898705882,0.0085788099999583,0.0016678185743454,0.0006235363569341,0.296,0.616,0.0665730960333201,0.0,0.0,0.5078520515986239,0.1686457388773478,0.0665730960333201,0.296,0.616,0.0613710518365742,0.0680986496248479,0.0485640032576672,0.7198640529395567,0.1399567724093177,0.0
"[50, 54]",0.265,0.602,0.004118628818093,0.0029204283932306,0.0021105039714739,0.02066972239518,0.0062952503173302,0.0011982004248624,0.265,0.602,0.002242450906687,0.0015766987347259,0.0011394994981773,0.0122936894141158,0.0025651536594283,0.000665752171961,0.265,0.602,0.0665730960333201,0.1123468286160144,0.0812391660600574,0.5259403104732949,0.1600331396414515,0.0,0.265,0.602,0.0613710518365742,0.0224408901690009,0.0162160650685273,0.4507187947408972,0.0939966981852012,0.0389301616675732
"[55, 59]",0.265,0.602,0.008853611084178,0.0070813627299312,0.0049003954938846,0.0334227464867769,0.0112777079051883,0.0017722483542467,0.265,0.602,0.0040584588089728,0.0024566844032965,0.0017004018181093,0.0167782713068382,0.0032576367876265,0.0016017744056762,0.265,0.602,0.0665730960333201,0.0668568486416789,0.0462671054454915,0.3957727750147124,0.1335763576493264,0.0,0.265,0.602,0.0613710518365742,0.0873709205568958,0.0603923630295342,0.480266442438571,0.0931992227539419,0.0
"[60, 64]",0.238,0.5710000000000001,0.0148069216322397,0.010927979829982,0.006059838578875,0.0452193107034347,0.0136287121460846,0.0038789418022576,0.238,0.5710000000000001,0.0071878226615018,0.0057551784995168,0.0031905620120532,0.0247884660627836,0.0045118704751482,0.001432644161985,0.238,0.5710000000000001,0.0665730960333201,0.1552001760176907,0.0860665100187404,0.4374948337076831,0.1318460650835203,0.0,0.238,0.5710000000000001,0.0613710518365742,0.1088531417642106,0.0603500932844849,0.5178040813844361,0.0942445060456461,0.0
"[65, 69]",0.238,0.5710000000000001,0.0357964121767944,0.0292883471615905,0.0128948601957096,0.104101539357329,0.024925550958496,0.0065080650152038,0.238,0.5710000000000001,0.0176993022370228,0.0146156167181026,0.0064302477391012,0.0569664653784233,0.0088314974694388,0.0030836855189201,0.238,0.5710000000000001,0.2419615831213848,0.1214055052136001,0.053313839484438,0.3850096566394215,0.091929448223499,0.1205560779077847,0.238,0.5710000000000001,0.1785788549988066,0.1283070909750619,0.0564049010441533,0.3329152769953483,0.0515708420399755,0.0502717640237446
"[70, 74]",0.214,0.523,0.053927285634544,0.0480509545642861,0.0150251267515009,0.150003380132246,0.0269684811191192,0.0058763310702579,0.214,0.523,0.0259616670832476,0.0218043101667549,0.0068116762903866,0.0794712542849704,0.0079616723952302,0.0041573569164926,0.214,0.523,0.344975494617135,0.1501714830053265,0.0467240966592038,0.2704540717867523,0.0484693670824351,0.1948040116118084,0.214,0.523,0.2361863582842214,0.0944861977329079,0.0293681288977867,0.2585140281867699,0.0257592240975137,0.1417001605513134
"[75, 79]",0.214,0.523,0.093745277775797,0.0779364913025172,0.0140721233027318,0.2431483275856377,0.027662301802317,0.0158087864732797,0.214,0.523,0.0472761782549323,0.041797321154615,0.0075152449053332,0.1358314501966571,0.0076191085930253,0.0054788571003173,0.214,0.523,0.4487136253613,0.203381116651875,0.0361666709680231,0.2935469820083033,0.0327676368746329,0.2453325087094249,0.214,0.523,0.278661272518525,0.0829699726039162,0.0146609593329517,0.233884621129191,0.0128218483029334,0.1956912999146088
"[80, 84]",0.192,0.461,0.1540819096706506,0.1312247573299112,0.0102266842623973,0.3762472058423866,0.0104937932771583,0.0228571523407394,0.192,0.461,0.082141264196277,0.0676163874858392,0.0052154402478945,0.2250047819100662,0.0054754964713489,0.0145248767104377,0.192,0.461,0.4823761100102436,0.1770076004309276,0.0132287637521799,0.2521957477243873,0.0068098425431858,0.305368509579316,0.192,0.461,0.2825544524599731,0.074179358880631,0.0055187365545488,0.1355913290395214,0.0032785270262878,0.2083750935793421
"[85, 89]",0.192,0.461,0.2326291300637644,0.2024988867428955,0.0063646686885147,0.5742188225167959,0.0136007739467948,0.0301302433208689,0.192,0.461,0.1314588408002702,0.1056119018051361,0.0032766885718761,0.3426419043690556,0.0081157128663898,0.025846938995134,0.192,0.461,0.4456504877424284,0.1496332052887068,0.0045368779559462,0.1669633162029914,0.0039546427808323,0.2960172824537215,0.192,0.461,0.2546450342475146,0.0613516667973692,0.0018389276490253,0.1396860485873516,0.0033085616421116,0.1932933674501454
"[90, 94]",0.192,0.461,0.341862293537387,0.2834706925752982,0.0060536322424586,0.7025783620507117,0.0166410593095484,0.0583916009620888,0.192,0.461,0.2219558649008998,0.144146958866731,0.0030761577666436,0.4774091656236006,0.0113077695943772,0.0778089060341688,0.192,0.461,0.5369897928887095,0.1074218906300454,0.0023046243590131,0.1627616109640547,0.0038551224570377,0.4295679022586641,0.192,0.461,0.3373363981281799,0.0642648309966886,0.0013776589522241,0.1054143834028761,0.0024968133108547,0.2730715671314911
"[90, 99]",0.192,0.461,0.3161178144770436,0.3020483909969534,0.0066488831727192,0.7463120100595314,0.017676921313914,0.0140694234800901,0.192,0.461,0.1952056071148514,0.1562053359356867,0.0034358080693896,0.4983025753676314,0.011802644599799,0.0390002711791646,0.192,0.461,0.5369897928887095,0.0891855377615963,0.0019758413770194,0.1350456401915011,0.0031986503275779,0.4478042551271132,0.192,0.461,0.3373363981281799,0.0559287306339102,0.0012372623917474,0.1034629836721481,0.0024505930450314,0.2814076674942696
