OBJECTID,SA22022_V1_00,SA22022_V1_00_NAME,SA22022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length,Shape_Area
1,100100,North Cape,North Cape,829.2255374,829.2255374,415887.7842,829223632
2,100200,Rangaunu Harbour,Rangaunu Harbour,273.9872769,273.9872769,149055.1164,273986243.3
3,100300,Inlets Far North District,Inlets Far North District,0,623.4589602,1349761.488,623466782.9
4,100400,Karikari Peninsula,Karikari Peninsula,174.4407509,174.4407509,140149.0992,174440847
5,100500,Tangonge,Tangonge,177.1769391,177.1769391,101448.1503,177178046.9
6,100600,Ahipara,Ahipara,4.52817343,4.52817343,15908.06887,4527638.694
7,100700,Kaitaia East,Kaitaia East,5.27365651,5.27365651,12706.92472,5273663.336
8,100800,Kaitaia West,Kaitaia West,3.2049209,3.2049209,12396.73126,3204985.628
9,100900,Rangitihi,Rangitihi,84.55318863,84.55318863,60616.14149,84552715.06
10,101000,Oruru-Parapara,Oruru-Parapara,103.3561757,103.3561757,67006.19856,103356252.9
11,101100,Taumarumaru,Taumarumaru,10.28296358,10.28296358,30302.7809,10283134.23
12,101200,Herekino-Takahue,Herekino-Takahue,303.8975374,303.8975374,159568.6849,303896638.3
13,101300,Peria,Peria,199.6236412,199.6236412,98731.86066,199623662.9
14,101400,Taemaro-Oruaiti,Taemaro-Oruaiti,156.8010486,156.8010486,97319.74374,156800903.8
15,101500,Whakapaku,Whakapaku,200.8981258,200.8981258,130522.6151,200898024.7
16,101600,Hokianga North,Hokianga North,347.9756525,347.9756525,166837.1966,347974774.5
17,101700,Kohukohu-Broadwood,Kohukohu-Broadwood,209.1809645,209.1809645,98915.05987,209180592.4
18,101800,Whakarara,Whakarara,169.5707624,169.5707624,166184.678,169570728.1
19,101900,Kaeo,Kaeo,255.5627738,255.5627738,100827.7582,255563608.8
20,102000,Omahuta Forest-Horeke,Omahuta Forest-Horeke,463.7082922,463.7082922,213339.6252,463706515.6
21,102100,Hokianga South,Hokianga South,126.0486907,126.0486907,145596.512,126047382.2
22,102200,Lake Manuwai-Kapiro,Lake Manuwai-Kapiro,59.07513672,59.07513672,59575.40534,59074441.43
23,102300,Ōkaihau,Okaihau,147.6762392,160.0240596,88067.17543,160024912.7
24,102400,Rangitane-Purerua,Rangitane-Purerua,123.1553931,123.1553931,169059.3025,123156411.3
25,102500,Waipapa,Waipapa,9.15729423,9.15729423,24159.13554,9157182.018
26,102600,Puketotara,Puketotara,55.26518189,55.26518189,59195.54742,55266275.54
27,102700,Waimā Forest,Waima Forest,237.0018931,237.0018931,96026.18343,237001135.7
28,102800,Riverview,Riverview,6.21931423,6.21931423,20635.48611,6219486.508
29,102900,Waipoua Forest,Waipoua Forest,277.8517454,277.8517454,105045.65,277852729.8
30,103000,Kerikeri Central,Kerikeri Central,3.71213297,3.71213297,11408.10268,3711990.34
31,103100,Kerikeri South,Kerikeri South,15.46337759,15.46337759,28117.2344,15463421.21
32,103200,Ōhaeawai-Waimate North,Ohaeawai-Waimate North,87.37553215,87.37553215,50818.87351,87374803.52
