WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (2674334.6761147 6000578.58911026)",244600,Taita South,3.39953471,3.39953471,1764313.42165,5438864.0804,-41.18492338,174.95918534,2674334.6761147,6000578.58911026
"POINT (2676013.32973282 6000368.92005741)",245900,Delaney,2.0684293,2.0684293,1765991.9922,5438654.21185,-41.1864706,174.97924526,2676013.32973282,6000368.92005741
"POINT (2674580.42860595 5999189.65664309)",246200,Naenae North,2.61127292,2.61127292,1764558.9801,5437475.15415,-41.19737756,174.96248511,2674580.42860595,5999189.65664309
"POINT (2676666.00151776 6000514.24114103)",246300,Manuka,1.31431633,1.31431633,1766644.664,5438799.44915,-41.18502912,174.98698353,2676666.00151776,6000514.24114103
"POINT (2679788.3517868 5990217.60836351)",246800,Pencarrow,268.4150435,268.4150435,1769765.31675,5428502.5789,-41.27707617,175.02703281,2679788.3517868,5990217.60836351
"POINT (2673817.70417498 5994139.88639003)",247000,Glendale,3.20897933,3.20897933,1763795.5519,5432425.60585,-41.2429916,174.95473935,2673817.70417498,5994139.88639003
"POINT (2674062.21749123 5991230.82844657)",247300,Homedale East,2.90986396,2.90986396,1764039.6028,5429516.6046,-41.2691306,174.95843259,2674062.21749123,5991230.82844657
"POINT (2667628.73767848 5998116.97867786)",243200,Maungaraki,2.11021735,2.11021735,1757607.45985,5436403.34135,-41.20840978,174.87990307,2667628.73767848,5998116.97867786
"POINT (2666597.99565045 5997337.35220354)",243300,Korokoro,1.84942909,1.84942909,1756576.67185,5435623.8642,-41.21562751,174.86781402,2666597.99565045,5997337.35220354
"POINT (2668756.27129102 5998643.55362163)",243500,Normandale,1.44706416,1.44706416,1758735.0039,5436929.76675,-41.20345009,174.89320848,2668756.27129102,5998643.55362163
"POINT (2671139.34307347 6000077.96121338)",243600,Belmont (Lower Hutt City),2.36254907,2.36254907,1761118.14935,5438363.8464,-41.1900686,174.92123901,2671139.34307347,6000077.96121338
"POINT (2666736.67016288 5996446.20982713)",243700,Petone Central,1.29638936,1.29638936,1756715.2173,5434732.74095,-41.22362356,174.86969444,2666736.67016288,5996446.20982713
"POINT (2669828.83937487 5999197.36160374)",243800,Tirohanga,1.18052999,1.18052999,1759807.59255,5437483.432,-41.19825451,174.90584966,2669828.83937487,5999197.36160374
"POINT (2668768.02718138 5997468.34430274)",244000,Alicetown-Melling,1.25541859,1.25541859,1758746.6002,5435754.5957,-41.21402786,174.89365185,2668768.02718138,5997468.34430274
"POINT (2671381.62842289 5999039.43450129)",244200,Boulcott,1.58246938,1.58246938,1761360.28845,5437325.3257,-41.19937004,174.92439872,2671381.62842289,5999039.43450129
"POINT (2669870.51613657 5998033.70307407)",244300,Hutt Central North,1.07096977,1.07096977,1759849.11,5436319.8042,-41.20872236,174.90664869,2669870.51613657,5998033.70307407
"POINT (2672800.73797904 5999950.80406143)",244400,Avalon West,1.21086039,1.21086039,1762779.4584,5438236.4968,-41.19088299,174.94107219,2672800.73797904,5999950.80406143
"POINT (2668488.49260055 5996275.80302934)",244700,Petone East,1.63004745,1.63004745,1758466.91605,5434562.1306,-41.2248184,174.89062655,2668488.49260055,5996275.80302934
"POINT (2670086.4002065 5997499.23304812)",244800,Hutt Central South,1.2941828,1.2941828,1760064.9099,5435785.32505,-41.21349159,174.90936129,2670086.4002065,5997499.23304812
"POINT (2668194.16943198 5995742.59461954)",245000,Petone Esplanade,0.97436417,0.97436417,1758172.5348,5434028.978,-41.22967597,174.88725425,2668194.16943198,5995742.59461954
