WKT,SA22022_V1_00,SA22022_V1_00_NAME,SA22022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (2756355.69344268 6451855.7901687)",167900,Hikuai,Hikuai,284.14967182,284.14967182,1845994.64545,5890331.6208,-37.1010498005552,175.768100185861,2756355.69344268,6451855.7901687
"POINT (2221202.08079323 5550839.29949653)",345400,Clyde,Clyde,2.08072882,2.08072882,1311282.9125,4989094.02255,-45.1924652765584,169.324448249525,2221202.08079323,5550839.29949653
"POINT (2504583.04582312 6732349.39692001)",100100,North Cape,North Cape,829.22553739,829.22553739,1593589.3979,6170138.61955,-34.6105791536247,172.930077753111,2504583.04582312,6732349.39692001
"POINT (2529103.63656764 6693414.96179446)",100200,Rangaunu Harbour,Rangaunu Harbour,273.98727689,273.98727689,1618212.2043,6131296.14725,-34.9607074608541,173.19948672891,2529103.63656764,6693414.96179446
"POINT (2574927.45811754 6674830.98311091)",100300,Inlets Far North District,Inlets Far North District,0,623.45896024,1664064.4664,6112848.4861,-35.1251812501066,173.70313011658,2574927.45811754,6674830.98311091
"POINT (2544331.17187866 6696885.89542388)",100400,Karikari Peninsula,Karikari Peninsula,174.44075092,174.44075092,1633422.04495,6134808.4712,-34.9286477532705,173.365944101455,2544331.17187866,6696885.89542388
"POINT (2527511.15770211 6671856.2523275)",100500,Tangonge,Tangonge,177.17693913,177.17693913,1616681.4512,6109745.2324,-35.155065108202,173.183153195687,2527511.15770211,6671856.2523275
"POINT (2524673.9100496 6670572.22381688)",100600,Ahipara,Ahipara,4.52817343,4.52817343,1613849.508,6108454.066,-35.1667507872483,173.152081787477,2524673.9100496,6670572.22381688
"POINT (2534922.82189555 6677501.72367509)",100700,Kaitaia East,Kaitaia East,5.27365651,5.27365651,1624073.0532,6115408.09675,-35.1038523382047,173.264143348188,2534922.82189555,6677501.72367509
"POINT (2534391.72625158 6676058.90994655)",100800,Kaitaia West,Kaitaia West,3.2049209,3.2049209,1623546.2811,6113964.61745,-35.1168809137319,173.258404439994,2534391.72625158,6676058.90994655
"POINT (2538590.64211463 6675302.63962525)",100900,Rangitihi,Rangitihi,84.55318863,84.55318863,1627744.9333,6113220.4455,-35.1234842323452,173.304506230493,2538590.64211463,6675302.63962525
"POINT (2552956.5487697 6685209.28624506)",101000,Oruru-Parapara,Oruru-Parapara,103.35617571,103.35617571,1642075.7583,6123161.7316,-35.0333461668455,173.461281341419,2552956.5487697,6685209.28624506
"POINT (2557212.32231668 6689245.13261486)",101100,Taumarumaru,Taumarumaru,10.28296358,10.28296358,1646318.2678,6127207.40545,-34.996680347475,173.507565463224,2557212.32231668,6689245.13261486
"POINT (2536084.19503604 6663111.09964428)",101200,Herekino-Takahue,Herekino-Takahue,303.89753743,303.89753743,1625273.55935,6101028.98805,-35.2334805584452,173.277756402893,2536084.19503604,6663111.09964428
"POINT (2551290.323938 6676615.03509824)",101300,Peria,Peria,199.62364122,199.62364122,1640434.1079,6114567.23855,-35.1109103350712,173.443703498615,2551290.323938,6676615.03509824
"POINT (2563563.92388713 6686807.48796615)",101400,Taemaro-Oruaiti,Taemaro-Oruaiti,156.80104856,156.80104856,1652673.5798,6124788.4457,-35.0181809011686,173.577358613383,2563563.92388713,6686807.48796615
"POINT (2570868.63740759 6681939.52596058)",101500,Whakapaku,Whakapaku,200.89812578,200.89812578,1659988.21785,6119942.74135,-35.061465708477,173.657880586877,2570868.63740759,6681939.52596058
"POINT (2541533.87797374 6648056.31154694)",101600,Hokianga North,Hokianga North,347.97565246,347.97565246,1630760.79525,6085997.97115,-35.3688593581438,173.338624442728,2541533.87797374,6648056.31154694
"POINT (2552959.9799413 6656720.90985529)",101700,Kohukohu-Broadwood,Kohukohu-Broadwood,209.18096448,209.18096448,1642157.01385,6094688.2858,-35.2900851479593,173.46362676115,2552959.9799413,6656720.90985529
"POINT (2588613.27127595 6681824.30575352)",101800,Whakarara,Whakarara,169.57076235,169.57076235,1677725.33655,6119875.6882,-35.0608594073338,173.852389889434,2588613.27127595,6681824.30575352
"POINT (2578557.55371901 6671585.70380572)",101900,Kaeo,Kaeo,255.56277377,255.56277377,1667701.65505,6109614.4816,-35.1541024204519,173.743311669936,2578557.55371901,6671585.70380572
"POINT (2566983.84165652 6656791.85928699)",102000,Omahuta Forest-Horeke,Omahuta Forest-Horeke,463.70829222,463.70829222,1656173.2322,6094796.767,-35.2884180140005,173.617757365853,2566983.84165652,6656791.85928699
"POINT (2554701.49010324 6636964.40241599)",102100,Hokianga South,Hokianga South,126.04869071,126.04869071,1643950.04775,6074947.5306,-35.4680015404977,173.484407955671,2554701.49010324,6636964.40241599
"POINT (2591922.34575863 6668679.16915799)",102200,Lake Manuwai-Kapiro,Lake Manuwai-Kapiro,59.07513672,59.07513672,1681068.31755,6106745.01855,-35.1789846470228,173.890334750413,2591922.34575863,6668679.16915799
"POINT (2582729.82503214 6656838.75964302)",102300,Ōkaihau,Okaihau,147.67623924,160.02405964,1671911.41695,6094885.46845,-35.2866105778243,173.790815018223,2582729.82503214,6656838.75964302
"POINT (2601413.96132143 6672171.81177766)",102400,Rangitane-Purerua,Rangitane-Purerua,123.15539314,123.15539314,1690546.65545,6110261.506,-35.1464707178291,173.994031757752,2601413.96132143,6672171.81177766
"POINT (2594214.43815717 6665815.98481812)",102500,Waipapa,Waipapa,9.15729423,9.15729423,1683367.06745,6103889.15905,-35.2045448832201,173.915866928462,2594214.43815717,6665815.98481812
"POINT (2593009.28423333 6660590.62842937)",102600,Puketotara,Puketotara,55.26518189,55.26518189,1682176.3116,6098662.85485,-35.2517633635184,173.903308932565,2593009.28423333,6660590.62842937
"POINT (2567856.2461401 6634728.85186018)",102700,Waimā Forest,Waima Forest,237.00189311,237.00189311,1657103.3391,6072747.5511,-35.4871680993039,173.629528406523,2567856.2461401,6634728.85186018
"POINT (2598450.16783152 6665374.56568006)",102800,Riverview,Riverview,6.21931423,6.21931423,1687602.18735,6103459.17055,-35.2080607607422,173.962433812014,2598450.16783152,6665374.56568006
"POINT (2557048.08940131 6624376.16667841)",102900,Waipoua Forest,Waipoua Forest,277.85174538,277.85174538,1646327.99305,6062372.6732,-35.581272182296,173.51133495179,2557048.08940131,6624376.16667841
"POINT (2597382.68139499 6663499.99564612)",103000,Kerikeri Central,Kerikeri Central,3.71213297,3.71213297,1686540.12505,6101582.55635,-35.2250722578629,173.950964323108,2597382.68139499,6663499.99564612
"POINT (2598053.09130001 6661889.9204876)",103100,Kerikeri South,Kerikeri South,15.46337759,15.46337759,1687214.5219,6099974.93325,-35.2395078745408,173.958544645946,2598053.09130001,6661889.9204876
